Sex,Age,Fare,FamilySize,IsAlone,Pclass_2,Pclass_3,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Cabin_Deck_B,Cabin_Deck_C,Cabin_Deck_D,Cabin_Deck_E,Cabin_Deck_F,Cabin_Deck_G,Cabin_Deck_T,Cabin_Deck_U
0,-0.5518268706304826,-0.8797405693934278,0.059159876663617626,0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True
1,0.657587883339844,1.3612199269233833,0.059159876663617626,0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
1,-0.249473182137901,-0.798539974052802,-0.5609748304808925,1,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True
1,0.43082261697040775,1.0620380556287106,0.059159876663617626,0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
0,0.43082261697040775,-0.7841792430073967,-0.5609748304808925,1,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True
0,-0.022707915768464766,-0.7386163019798164,-0.5609748304808925,1,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True
0,1.8670026373101707,1.038145562232327,-0.5609748304808925,1,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
0,-2.063595313093391,0.1364991380659541,1.9195639980971482,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1,-0.1738847600147556,-0.48145578049281335,0.6792945838081278,0,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True
1,-1.156534247615646,0.4894379098126231,0.059159876663617626,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,-1.9124184688471002,-0.09156500424402261,0.6792945838081278,0,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False
1,2.1693563258027524,0.36526093570402607,-0.5609748304808925,1,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
0,-0.7030037148767735,-0.7841792430073967,-0.5609748304808925,1,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True
0,0.7331763054629894,0.5286989276421437,3.1598334123861687,0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True
1,-1.156534247615646,-0.806763380796033,-0.5609748304808925,1,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True
1,1.942591059433316,-0.13322852057373055,-0.5609748304808925,1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
0,-2.063595313093391,0.457519539438721,2.5396987052416584,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,-0.022707915768464766,-0.3336984726090336,-0.5609748304808925,1,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
1,0.12846892847782607,-0.01838583697289204,0.059159876663617626,0,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True
1,0.43082261697040775,-0.8828741679067217,-0.5609748304808925,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0,0.43082261697040775,0.3444394801955362,-0.5609748304808925,1,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
0,0.3552341948472623,-0.3336984726090336,-0.5609748304808925,1,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1,-1.0809458254925006,-0.7865550587251358,-0.5609748304808925,1,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True
0,-0.09829633789161019,0.6557188297748954,-0.5609748304808925,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
1,-1.6100647803545185,0.1364991380659541,1.9195639980971482,0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True
1,0.657587883339844,0.5322916934007406,3.1598334123861687,0,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True
0,-0.022707915768464766,-0.8828741679067217,-0.5609748304808925,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0,-0.7785921369999189,2.6987007794454887,2.5396987052416584,0,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1,-0.5518268706304826,-0.8038521494426432,-0.5609748304808925,1,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True
0,-0.022707915768464766,-0.8019236166026618,-0.5609748304808925,1,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True
